                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.61725,                0.45067,                0.93295,                 0.9756,                0.98723,                0.98447,                0.85584,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.60841,                0.44643,                 0.9285,                0.97199,                0.98765,                0.98576,                 0.8507,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.60624,                0.44009,                0.92382,                0.98544,                0.98765,                0.98616,                0.84421,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.58221,                0.41956,                0.91409,                 0.9985,                0.98765,                0.98684,                0.85775,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 0.6134,                0.46054,                0.93432,                0.99966,                0.97531,                0.98655,                0.85083,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.58394,                0.41029,                0.91192,                0.99925,                0.97531,                0.98657,                0.84001,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.57539,                0.40755,                0.91473,                0.99899,                0.98765,                0.98693,                0.86125,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.59615,                0.43274,                0.92974,                0.97513,                0.98765,                0.98678,                0.85153,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.59731,                0.42427,                0.90818,                0.97446,                0.98765,                0.98656,                0.84775,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.61866,                0.42686,                0.94773,                0.98763,                0.98588,                0.98654,                0.84759,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.56773,                 0.4164,                0.92288,                0.99622,                0.98765,                0.98694,                0.85434,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.55712,                0.41427,                0.91808,                 0.9839,                0.98765,                0.98619,                0.85467,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.55004,                0.40636,                0.90995,                0.98538,                0.98765,                 0.9851,                0.85648,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.55708,                0.39881,                0.91651,                  0.986,                0.98765,                0.98421,                 0.8591,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.52104,                0.38021,                0.89001,                 0.9857,                0.98765,                0.98503,                0.86355,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.55423,                0.39903,                0.90137,                0.98657,                0.98765,                0.98588,                 0.8497,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                 0.5594,                0.40224,                0.90968,                0.98764,                0.98651,                0.98611,                0.84005,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.52877,                0.39535,                0.89982,                 0.9856,                0.97531,                0.98576,                0.85792,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.47698,                 0.3441,                0.85722,                0.98448,                0.97531,                0.98566,                0.85442,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.47536,                0.34499,                0.86956,                0.97477,                0.97531,                0.98536,                0.85108,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.47683,                0.34478,                0.87618,                 0.9875,                0.97493,                0.98534,                0.85843,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.45103,                0.32872,                0.84691,                0.98598,                0.97531,                 0.9854,                0.86016,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.45703,                 0.3287,                 0.8375,                0.98535,                0.97531,                0.98587,                0.85883,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.47256,                0.34016,                0.84642,                0.98289,                0.97531,                0.98591,                0.86273,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.45614,                0.33026,                0.85366,                0.97435,                0.97531,                0.98615,                0.86434,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                 0.4465,                0.31803,                0.84361,                0.96384,                0.98709,                0.98553,                0.86681,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.44155,                0.32379,                0.84852,                0.96384,                0.98709,                0.98554,                0.87594,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                 0.4414,                0.31864,                0.83122,                0.96384,                0.98719,                 0.9857,                0.86849,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
